"","price","address","squares","type","year","age","bed","bath","tax"
"438","$1,238,888","75 Titan Trail, Markham, ON",NA,"Residential, House",NA,NA,"4","4","$6,533"
"439","$1,298,000","2177 Lillykin St, Oakville, ON","2,760 sq.ft.","Residential, Townhouse","2017","0-5","3","4","$5,389"
"440","$4,250,000","206 Bloor St W #502, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","3","$18,219"
"441","$1,059,000","379 Pettit Trail, Milton, ON","2,275 sq.ft.","Residential, House",NA,"6-15 yrs","4","3+1","$4,434"
"442","$929,000 or $3,300/mo","1575 Lakeshore Rd W, Mississauga, ON",NA,"Residential, Condo",NA,"1","2+1","2",NA
"443","$3,945,000","74 Pricefield Rd, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","4+1","$11,952"
"444","$6,295,000","22 Deanbank Dr, Markham, ON",NA,"Residential, House",NA,NA,"4+2","5","$21,038"
"445","$799,000","360A Dundas St E, Toronto, ON",NA,"Residential, Townhouse",NA,NA,"2","2","$2,180"
"446","$1,650,000","7A Prince Street, Halton Hills, ON","2,450 sq.ft.","Residential, House",NA,NA,"4","3+1","$7,132"
"447","$797,000","55 Regent Park Blvd #2602, Toronto, ON",NA,"Residential, Condo",NA,"6-10","2","2","$2,579"
"448","$728,000","32 Orca Dr, Markham, ON",NA,"Residential, House",NA,"6-15","3","3","$3,731"
"449","$900,000","16 Hillson Crt, Brampton, ON",NA,"Residential, House",NA,NA,"3","3","$5,520"
"450","$929,000","1048 Broadview Ave, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,334"
"451","$5,295,000","158 Glen Rd, Toronto, ON",NA,"Residential, House",NA,NA,"6+1","5","$20,269"
"452","$2,695,000","35 Marlborough Avenue, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$9,607"
"453","$1,300,000","88 Cumberland St #1201, Toronto, ON",NA,"Residential, Condo",NA,"New","2","2",NA
"454","$1,799,999","9544 Hutsell Rd, Northumberland, ON","3,256 sq.ft.","Farm & Agriculture, Farm / Ranch","1959","100+","3","3","$12,413"
"455","$1,198,000","16 John Smith St, East Gwillimbury, ON",NA,"Residential, House",NA,"0-5","4+1","4","$5,822"
"456","$1,049,000","1356 Monaghan Circle, Mississauga, ON","1,486 sq.ft.","Residential, House",NA,NA,"4+1","4","$5,030"
"457","$1,325,000","68 Curzon St, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$5,319"
"458","$4,495,000","330 Byng Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","7","$16,066"
"459","$1,099,000","68 Ostend Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","2","$6,069"
"460","$2,499,000","134 Parkhurst Blvd., Toronto, ON","3,400 sq.ft.","Residential, House",NA,NA,"4+1","3+1","$9,487"
"461","$5,288,000","25-10 Maple Grove Drive, Oakville, ON","3,563 sq.ft.","Residential, Condo",NA,"6-10","3","3","$20,284"
"462","$933,000","5991 Gant Cres, Mississauga, ON",NA,"Residential, House",NA,"16-30","4","4","$4,724"
"463","$1,300,000","1472 Grace River Rd, Haliburton, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,600"
"464","$2,480,000","430 Winston Rd, Oakville, ON","2,899 sq.ft.","Residential, House","2012","6-15","4+2","5+1","$10,990"
"465","$1,174,900","324 St Dominic Cres, Oakville, ON","1,655 sq.ft.","Residential, House",NA,NA,"4+1","1+1","$4,416"
"466","$1,249,000","10 Walker Ave Th122, Toronto, ON",NA,"Residential, Condo",NA,"31-50","2","2","$4,666"
"467","$2,398,000","373 Wade Street, Oakville, ON","3,239 sq.ft.","Residential, House",NA,NA,"4","5+1",NA
"468","$1,449,000","278 Bloor St E #2203, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$5,205"
"469","$829,900","400 Adelaide St E #506, Toronto, ON",NA,"Residential, Condo",NA,"0-5","2","2","$3,148"
"470","$845,000","214 Timmons St, The Blue Mountains, ON",NA,"Residential, House",NA,NA,"4","2","$3,599"
"471","$849,000","557733 4th Concession N, Meaford, ON",NA,"Residential, House",NA,NA,"2","2","$2,467"
"472","$798,800","640 Irwin Cres, Newmarket, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,241"
"473","$1,950,000","14650 Niagara Parkway, Niagara-on-the-Lake, ON","2,630 sq.ft.","Residential, House",NA,"23","3","3","$6,129"
"474","$849,000","42B Grant Street, Toronto, ON","1,200 sq.ft.","Residential, House",NA,"175","2+1","2","$3,772"
"475","$749,900","39 Queens Quay E, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$3,286"
"476","$958,000","2285 Lake Shore Blvd Suite 801, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,454"
"477","$3,500,000","15618 Niagara Parkway, Niagara-on-the-Lake, ON","10,000 sq.ft.","Residential, House","1875","100+","9","10",NA
"478","$1,238,888","75 Titan Trail, Markham, ON",NA,"Residential, House",NA,NA,"4","4","$6,533"
"479","$1,298,000","2177 Lillykin St, Oakville, ON","2,760 sq.ft.","Residential, Townhouse","2017","0-5","3","4","$5,389"
"480","$4,250,000","206 Bloor St W #502, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","3","$18,219"
"481","$1,059,000","379 Pettit Trail, Milton, ON","2,275 sq.ft.","Residential, House",NA,"6-15 yrs","4","3+1","$4,434"
"482","$929,000 or $3,300/mo","1575 Lakeshore Rd W, Mississauga, ON",NA,"Residential, Condo",NA,"1","2+1","2",NA
"483","$3,945,000","74 Pricefield Rd, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","4+1","$11,952"
"484","$6,295,000","22 Deanbank Dr, Markham, ON",NA,"Residential, House",NA,NA,"4+2","5","$21,038"
"485","$799,000","360A Dundas St E, Toronto, ON",NA,"Residential, Townhouse",NA,NA,"2","2","$2,180"
"486","$1,650,000","7A Prince Street, Halton Hills, ON","2,450 sq.ft.","Residential, House",NA,NA,"4","3+1","$7,132"
"487","$797,000","55 Regent Park Blvd #2602, Toronto, ON",NA,"Residential, Condo",NA,"6-10","2","2","$2,579"
"488","$728,000","32 Orca Dr, Markham, ON",NA,"Residential, House",NA,"6-15","3","3","$3,731"
"489","$900,000","16 Hillson Crt, Brampton, ON",NA,"Residential, House",NA,NA,"3","3","$5,520"
"490","$929,000","1048 Broadview Ave, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,334"
"491","$5,295,000","158 Glen Rd, Toronto, ON",NA,"Residential, House",NA,NA,"6+1","5","$20,269"
"492","$2,695,000","35 Marlborough Avenue, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$9,607"
"493","$1,300,000","88 Cumberland St #1201, Toronto, ON",NA,"Residential, Condo",NA,"New","2","2",NA
"494","$1,799,999","9544 Hutsell Rd, Northumberland, ON","3,256 sq.ft.","Farm & Agriculture, Farm / Ranch","1959","100+","3","3","$12,413"
"495","$1,198,000","16 John Smith St, East Gwillimbury, ON",NA,"Residential, House",NA,"0-5","4+1","4","$5,822"
"496","$1,049,000","1356 Monaghan Circle, Mississauga, ON","1,486 sq.ft.","Residential, House",NA,NA,"4+1","4","$5,030"
"497","$1,325,000","68 Curzon St, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$5,319"
"498","$4,495,000","330 Byng Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","7","$16,066"
"499","$1,099,000","68 Ostend Ave, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","2","$6,069"
"500","$2,499,000","134 Parkhurst Blvd., Toronto, ON","3,400 sq.ft.","Residential, House",NA,NA,"4+1","3+1","$9,487"
"501","$5,288,000","25-10 Maple Grove Drive, Oakville, ON","3,563 sq.ft.","Residential, Condo",NA,"6-10","3","3","$20,284"
"502","$933,000","5991 Gant Cres, Mississauga, ON",NA,"Residential, House",NA,"16-30","4","4","$4,724"
"503","$1,300,000","1472 Grace River Rd, Haliburton, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,600"
"504","$2,480,000","430 Winston Rd, Oakville, ON","2,899 sq.ft.","Residential, House","2012","6-15","4+2","5+1","$10,990"
"505","$1,174,900","324 St Dominic Cres, Oakville, ON","1,655 sq.ft.","Residential, House",NA,NA,"4+1","1+1","$4,416"
"506","$1,249,000","10 Walker Ave Th122, Toronto, ON",NA,"Residential, Condo",NA,"31-50","2","2","$4,666"
"507","$2,398,000","373 Wade Street, Oakville, ON","3,239 sq.ft.","Residential, House",NA,NA,"4","5+1",NA
"508","$1,449,000","278 Bloor St E #2203, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$5,205"
"509","$829,900","400 Adelaide St E #506, Toronto, ON",NA,"Residential, Condo",NA,"0-5","2","2","$3,148"
"510","$845,000","214 Timmons St, The Blue Mountains, ON",NA,"Residential, House",NA,NA,"4","2","$3,599"
"511","$849,000","557733 4th Concession N, Meaford, ON",NA,"Residential, House",NA,NA,"2","2","$2,467"
"512","$798,800","640 Irwin Cres, Newmarket, ON",NA,"Residential, House",NA,NA,"3+1","3","$4,241"
"513","$1,950,000","14650 Niagara Parkway, Niagara-on-the-Lake, ON","2,630 sq.ft.","Residential, House",NA,"23","3","3","$6,129"
"514","$849,000","42B Grant Street, Toronto, ON","1,200 sq.ft.","Residential, House",NA,"175","2+1","2","$3,772"
"515","$749,900","39 Queens Quay E, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$3,286"
"516","$958,000","2285 Lake Shore Blvd Suite 801, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,454"
"517","$3,500,000","15618 Niagara Parkway, Niagara-on-the-Lake, ON","10,000 sq.ft.","Residential, House","1875","100+","9","10",NA
"518","$1,238,888","75 Titan Trail, Markham, ON",NA,"Residential, House",NA,NA,"4","4","$6,533"
"519","$1,298,000","2177 Lillykin St, Oakville, ON","2,760 sq.ft.","Residential, Townhouse","2017","0-5","3","4","$5,389"
"520","$4,250,000","206 Bloor St W #502, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","3","$18,219"
